Road,Road_encoded
Acacia Street,165
Mayellen Avenue,4886
Santa Ana Road,7007
South Idaho Street,7503
Butte Street,1171
Breeze Hill Road,1035
Peaks Pike Road,6155
Guthrie Street,3547
Pine Cliff Road,6233
Claremont Avenue,1672
2nd Avenue,64
1st Street,41
North Ogden Drive,5644
Kammerer Avenue,4119
Haynes Street,3657
Kirkham Street,4208
1st Street,41
Main Street,4751
East State Street,2714
South Pasadena Avenue,7580
Forest Drive,3174
Westwold Drive,8985
South Alameda Street,7372
Lynx Trail,4712
North Mariposa Avenue,5611
Maybrook Drive,4885
Cedar Street,1509
Grafton Avenue,3443
La Cresta Road,4255
Beale Avenue,742
Capistrano Avenue,1397
La Sierra Drive,4292
Bellemare Avenue,788
Andler Road,375
East Newlove Drive,2625
South Western Avenue,7673
Capri Drive,1400
32nd Avenue,70
Hauck Drive,3642
West Norwood Street,8856
Stockbridge Avenue,7821
Woodman Avenue,9132
Palmer Drive,6026
Joyce Avenue,4088
Spring Lake Court,7728
Montclair Street,5160
McCaw Avenue,4912
North Road,5682
Pomber Street,6330
El Norte Avenue,2840
Alamos Avenue,226
1st Street,41
Orangewood Place,5940
Calvert Street,1307
East 58th Street,2354
Edgehill Drive,2779
East Montana Avenue,2615
1st Street,41
West Robinhood Drive,8891
Buckpasser Drive,1130
Homestead Avenue,3824
Templeton Street,8024
20th Street,45
South Stockton Street,7636
Oakstand Road,5820
1st Street,41
Sacramento Street,6861
Carmel Avenue,1418
West Side Freeway,8915
San Clemente Avenue,6925
East Tulare Avenue,2728
Fairmount Street,3012
Shaw Road,7179
South Land Park Drive,7519
Otomi Avenue,5979
Slate Canyon Road,7309
2nd Street,65
Colbath Avenue,1753
Mignonette Street,5051
Freer Street,3230
Winchester Avenue,9065
El Patio Drive,2846
Adelia Court,191
Mayfield Avenue,4889
Vierra Canyon Road,8442
Skyline Drive,7302
33rd Avenue,72
Meridian Parkway,4997
Alford Street,251
West 209th Street,8610
South Hickman Road,7494
West 3rd Street,8629
Anza Street,403
Kimbro Street,4187
Orchard Street,5945
Parvin Drive,6108
Betty Street,834
South Bernardo Avenue,7395
West Pampas Lane,8869
Sparrowhawk,7710
Shamrock Avenue,7170
Sunset Avenue,7912
Beach Boulevard,736
Hopper Avenue,3837
East Hedges Avenue,2538
Water Street,8551
Bernhard Avenue,821
Santa Ana Freeway,7005
Duarte Road,2276
North Windsor Boulevard,5745
Enslen Avenue,2932
West 58th Street,8637
Lucchesi Lane,4687
Flora Street,3143
East Liberty Avenue,2579
Transit Plaza,8165
High Street,3739
East South Avenue,2710
Athens Street,516
34th Street 35th Street Alley,76
Easy Avenue,2765
South Santa Fe Avenue,7615
Paramount Boulevard,6062
Cully Avenue,2001
Agate Drive,201
Villa Lane,8448
Los Amigos Street,4643
North West Street,5735
West Harney Lane,8773
Via Vaquero,8418
Saddle Loop Trail,6862
West 4th Avenue,8635
Pomona Freeway,6335
Deodar Avenue,2151
Wilshire Boulevard,9059
University Community Park,8258
Anita Street,386
Zelinda Drive,9204
Cedar Street,1509
Walnut Avenue,8516
Oswell Street,5974
North J Street,5575
West Lodi Avenue,8818
Palos Verdes Drive North,6040
Superior Avenue,7925
Meadowridge Road,4958
Crestridge Lane,1974
Cherokee Lane,1590
Cebada Canyon Road,1503
6th Street,125
Cartier Lane,1452
Farnsworth Drive,3049
North Arrowhead Avenue,5444
East Adams Street,2371
West 1st Avenue,8608
Cerritos Avenue,1537
East Martin Luther King Junior Boulevard,2602
Brighton Way,1055
North San Gabriel Street,5694
East Arlington Street,2385
G Avenue,3259
East Road,2686
East Sandra Avenue,2700
Helmsdale Avenue,3692
Corte Soledad,1864
Avenue 313,584
West Bloomingdale Avenue,8689
Camulos Avenue,1366
Chiquito Canyon Road,1620
Beverly Avenue,836
Kelton Avenue,4153
Adams Road,185
Martin Luther King Junior Boulevard,4852
Alice Lane,258
East Verde Place,2734
Morena Boulevard,5201
West Hacienda Drive,8770
South Sloan Avenue,7628
East 95th Street,2367
East Greenhaven Street,2523
West Washington Boulevard,8953
Park Street,6077
South Blackstone Street,7398
Glen Street,3368
Luce Avenue,4688
North Lincoln Street,5597
Knox Place,4224
Levee Road,4484
Pritchard Avenue,6405
Caleigh Lane,1239
West 48th Street,8634
Brooks Street,1083
Arbol Via,428
Paramount Boulevard,6062
Hayford Way,3655
Farel Street,3040
Canada Vista,1368
Rome Place,6758
27th Avenue,60
Fano Lane,3036
Hilltop,3779
Jastro Avenue,4019
O Street,5778
Holder Street,3796
Deerwood Drive Extension,2117
Via Arroyo,8370
Orchid Drive,5947
North Emerson Avenue,5518
Shay Lane,7182
South 5th Avenue,7366
Lagunitas Avenue,4317
Howard Street,3852
Sarkesian Drive,7061
Aliso Creek Bikeway,263
Tamarack Avenue,7983
Carr Ranch Loop Trail,1437
Sydnor Avenue,7959
Maxey Drive,4880
Ballina Court,661
East Tulare Avenue,2728
North del Norte Avenue,5747
Faught Road,3058
West Lodi Avenue,8818
Sierra Madre Road,7242
East C Street,2436
1st Street,41
Swanton Road,7939
San Vincente Avenue,6985
Mariner Drive,4819
Union Valley Parkway,8253
Sycamore Avenue,7951
North McClure Road,5618
Helen Drive,3687
Rio Vista Drive,6641
Stimson Way,7819
1st Street,41
La Tijera Boulevard,4294
East George Street,2518
Christmas Way,1632
East Harper Street,2533
1st Street,41
Prospect Street,6414
Acacia Street,165
The Alameda,8050
South 42nd Street,7362
Washington Place,8545
Hiawatha Way,3718
National Boulevard,5320
West Avenue 31,8668
Georgia Street,3332
Stillwell,7817
Daystar Drive,2082
Hazeltine Avenue,3664
Stephenson Street,7803
Green Acres Drive,3482
Talisman Street,7978
Nobel Drive,5398
Polvera Avenue,6327
California Street,1257
Forest Lane,3177
Gold Cliff Road,3401
Pepper Tree Lane,6190
Caminito Canasto,1323
Palm Bluff Trail,6021
Los Angeles Avenue,4644
South Hills Backbone Trail,7497
Lincoln Boulevard,4520
Boonville Road,975
Neilson Street,5341
East Westfall Road,2745
Rancho Drive,6495
Canfield Drive,1378
12th Avenue,13
West 106th Street,8589
Kaweah Street,4129
Alemar Way,244
East Chestnut Avenue,2458
Littlejohn Road,4553
Cresson Street,1966
Road 203,6679
Palm Avenue,6020
Pinehaven Way,6247
Laguna Woods Drive,4316
East Hedges Avenue,2538
Winchester Boulevard,9066
Harkins Road,3605
Franquette Avenue,3218
San Lorenzo Drive,6959
Manzanita Street,4787
Kittridge Street,4213
Alderwood Way,242
West 115th Street,8590
South Towner Street,7650
North Ogden Drive,5644
Ponderosa Trail,6339
San Bruno Avenue,6921
Dennis Avenue,2149
Tamarisk,7986
Avenue 172,570
Calloway Drive,1305
Broadway,1066
87th Avenue,142
Kentwood Avenue,4172
Camulos Street,1367
Jasmine Avenue,4015
Pioneer Street,6263
North Creek Drive,5496
Bradford Street,1013
Olivia Terrace,5908
Charleston Lane,1575
Rainbow Drive,6467
Tahoe Rim Trail (Glass Mountain),7973
Princevalle Street,6404
Crags Road,1939
Hout Trail,3850
Doreen Avenue,2237
East Piru Street,2662
Scrub Jay Trail,7101
University Drive,8259
Serrano Avenue,7140
South Normandie Avenue,7567
Terrimay Lane,8042
Norfolk Street,5413
Radio Avenue,6460
Chapman Place,1563
San Anselmo Avenue,6912
Starduster Drive,7783
Juniper Street,4107
Topia Street,8123
Georgia Street,3332
E Street,2308
Tami Way,7989
Walnut Avenue,8516
Minnesota Street,5092
South Beth Circle,7396
Serrano Avenue,7140
Venus Street,8343
Victory Place,8439
North McDowell Boulevard,5619
American River Bike Trail,351
McWethy Drive,4945
Pacific Drive,6002
54th Frontage Street,105
Via Varadero,8419
Newmark Avenue,5370
Lustrosos Street,4700
The Alameda,8050
Seven Sisters Road,7147
Fern Street,3084
Jade Coast Lane,3998
Dodson Street,2208
Riverside Boulevard,6661
Inglewood Avenue,3941
Salt Creek Loop Trail,6899
North Blue Ridge Court,5465
Almaden Expressway,300
Walnut Street,8520
Harding Avenue,3602
Moriclair Road,5207
Crestview Drive,1975
West 77th Street,8645
Woods End Trail,9139
East Beck Avenue,2411
Wagnon Road,8504
Deerfield Avenue,2111
New Jersey Avenue,5358
1st Street,41
West Olympic Boulevard,8860
3rd Avenue,83
West Aster Street,8660
Valley Boulevard,8295
Ahern Avenue,206
Broadway Street,1068
Blue Spruce Drive,926
West Elder Avenue,8739
Junipero Serra Freeway,4109
Byxbee Street,1175
Craner Avenue,1945
East 17th Street,2332
Columbus Avenue,1788
West 41st Street,8631
Clavelita Street,1694
San Francisco Bay Trail,6939
Haig Street,3559
13th Street,18
Harrison Avenue,3621
Los Feliz Boulevard,4653
Reflection Pond Trail,6557
Glenwood Court,3390
14th Avenue,21
Pala Avenue,6012
Boat ramp access,940
West 65th Place,8641
Willow Glen Drive,9048
Alma Street,299
USS Pasco Driveway,8246
21st Street,48
Van Ness Avenue,8317
Wynne Avenue,9165
Ficus Street,3093
Port Wheeler Place,6354
Rosedale Avenue,6784
Box Springs Mountain Road,998
Gateway Boulevard,3306
Quigley Street,6450
Strebel Road,7846
South Ontare Road,7573
Blossom Lane,908
40th Street,86
East Norman Avenue,2627
Ridge Trail,6611
Federal Avenue,3071
North Montclair Plaza Lane,5627
Madison Avenue,4731
Thelma Avenue,8061
Los Angeles River Bikeway,4646
Steele Street,7794
Park Road,6076
Market Street,4830
West Canada,8699
East Mount Whitney Avenue,2618
Woodranch Road,9136
Reklaw Drive,6568
Biscayne Court,875
Watson Street,8560
United Street,8256
La Costa Lane,4252
159th Avenue,25
East Beach Avenue,2409
South Imperial Avenue,7504
Pierce Street,6225
Cardinal Avenue,1403
Petaluma Avenue,6202
22nd Street West,51
Caldas Court,1234
East Arrow Highway,2387
Charles E Young Drive East,1574
1st Street,41
Pomona Court,6333
A Street,150
Haynes Street,3657
Amador Valley Boulevard,335
El Chorro Way,2826
1st Street,41
Almond Avenue,306
John F Shelley Drive,4059
Bean Flat Spur,744
West Avenue J,8671
Oakshire Drive,5819
Sharon Road,7174
Rimrock Circle,6629
East Roby Avenue,2688
Roca Road,6715
Third Street,8063
Gordon Street,3432
East 67th Street,2358
23rd Avenue,52
West Victoria Street,8946
Avenue 392,591
South Stevenson Street,7634
Walnut Drive,8517
Goshen Avenue,3435
East Merion Street,2608
Silliman Street,7257
Forest Route 1N01,3179
Doten Road,2246
Glendale Freeway,3378
Felder Drive,3073
South Sacramento Freeway,7612
Chilco Street,1614
Badger Canyon Road,630
1st Street,41
South Willaman Drive,7678
Point of No Return,6317
Broadway,1066
Lema Way,4462
El Monte Drive,2838
West Glenoaks Boulevard,8759
North Branciforte Avenue,5472
Horne Place,3840
South Highland Avenue,7495
West Briggsmore Avenue,8690
North J Street,5575
North Martel Avenue,5614
Cabrillo Highway,1217
International Boulevard,3952
Via Mayor,8401
Stacey Avenue,7751
Hazeltine Avenue,3664
Macarthur Avenue,4723
East Belmont Avenue,2414
West Manchester Avenue,8832
East F Street,2498
New Airport Road,5354
North Quincy Road,5669
Geer Road,3317
Hartley Lane,3631
West 106th Street,8589
Cherry Lane,1595
Armstrong Road,460
North Baldwin Avenue,5452
La Serena Drive,4290
Cliff Drive,1714
Farnsworth Street,3050
North First Street,5528
Lakeshore Drive,4340
Clawiter Road,1695
Greenwich Street,3510
Knott Street,4223
Meadow Drive,4948
West Poplar Avenue,8876
Cortland Avenue,1868
North B Street,5450
Gothic Avenue,3438
Tujunga Wash Path,8202
Upper River Loop Trails,8267
Orsi Circle,5963
Patrician Lane,6135
Lincoln Avenue,4519
Valle Vista Avenue,8290
Taper Lane,7999
East Hellman Avenue,2539
Shoal Drive,7215
West Walbrook Drive,8950
Pomona Freeway,6335
Sudene Avenue,7856
Cerritos Avenue,1537
Rice Canyon Road,6593
1st Street,41
East Lawrence Avenue,2574
1st Street,41
Jamboree Road,4006
West Camile Street,8698
Wilmington Avenue,9058
Gyrfalcon Street,3549
Simpson Street,7271
Display Way,2193
Van Nuys Boulevard,8318
Hunter Lane,3872
Expo Bike Path,2992
Inland Rail Trail,3944
Carnoustie Drive,1428
Mandarin Way,4766
Rood Street,6765
Vanowen Street,8326
West Clayton Avenue,8714
Purdue Avenue,6430
Elizabeth Avenue,2875
Via Marina,8397
Wallace Road,8515
Twain Drive,8230
Roosevelt Avenue,6766
Cantara Street,1381
Intake Boulevard,3950
Paru Street,6107
Bruce Avenue,1097
South 3rd Avenue,7361
Kingbee Street,4192
East 76th Place,2362
North Saint Louis Street,5692
Tahoe Court,7971
La Field Drive,4256
Rockaway Road,6723
12th Avenue,13
Monte Bonito Drive,5161
North Saint Louis Street,5692
Brea Canyon Road,1032
Wilburn Place,9019
Contra Costa Drive,1820
18th Street,38
East San Antonio Drive,2698
Sheriff Road,7202
Senator Daniel E Boatwright Highway,7125
Wildcat Canyon Road,9025
North Ford Avenue,5532
Madera Street,4729
North Bonnie Beach Place,5470
Balboa Avenue,647
Glorietta Boulevard,3396
Los Olivos Drive,4655
Olive Street,5903
East 40th Place,2348
East Madison Avenue,2592
Marin Street,4815
1st Street,41
Ellen Lane,2885
North Priscilla Lane,5668
Grand Avenue,3451
Carpenter Lane,1434
Atwal Court,526
Montelena Avenue,5172
Meadowlark Drive,4955
Loan Oak Way,4564
Bishop Avenue,876
East Duarte Road,2488
Polk Street,6324
Sebastopol Road,7114
47th Avenue,96
West Casad Avenue,8708
Studebaker Road,7853
Woodranch Road,9136
Vail Avenue,8275
South Stockton Street,7636
D Street,2025
Jay Leno lane,4021
Arvella Grigsby Place,490
Ferndale Drive,3086
Hiker Hill Road,3757
Slater Avenue,7311
3rd Avenue,83
El Pintado Road,2847
Alley n/o Olive Avenue,287
7th Avenue,132
McConnell Boulevard,4917
South Berkeley Avenue,7394
Timber Ridge Road,8098
South Westlake Boulevard,7675
Incence Road,3921
Leoni Road,4476
Georgia Street,3332
Parkcrest Street,6084
Ledge Street,4446
La Veta Street,4297
Darina Avenue,2054
South Park Avenue,7577
Eagle Nest Way,2313
East Quail Avenue,2676
Acacia Street,165
San Diego Freeway,6929
Port Road 21,6353
Benito Avenue,802
San Andreas Road,6911
South Peak,7583
1st Street,41
Railroad Avenue,6464
Michael Street,5029
North Green Court,5556
Anaheim Boulevard,366
North El Dorado Street,5514
Bryce Road,1113
Penrose Street,6185
Oak Hill Drive,5792
Shiloh Meadow,7212
North School Street,5700
Old Almaden Road,5856
Steven Circle,7808
Hiker Hill Road,3757
Luis Avenue,4694
West Tulare Avenue,8938
West 21st Street,8612
Cypress Avenue,2019
Derby Street,2153
Charlesworth Avenue,1577
East N Street,2620
18th Street,38
Appleton Drive,414
Abagail Street,152
Del Monte Avenue,2125
Iron Horse Trail,3963
Yellowstone Drive,9177
Curlew Court,2009
Fircrest Lane,3113
Sheriff Road,7202
12th Avenue,13
South Citrus Street,7426
Locust Street,4579
Freguelia Ranch,3231
Highbury Court,3741
Silverado Place,7262
The Shops Boulevard,8056
Buena Vista Street,1139
Sienna Botanica Trail,7233
Camino Sin Puente,1347
47th Avenue,96
65th Street Expressway,120
Burton Avenue,1162
Cedar Street,1509
Davis Street,2076
1st Street,41
Mission Street,5126
Rose Avenue,6778
North Hicks Avenue,5569
Hughes Lane,3863
East 124th Street,2324
Cabrillo Highway,1217
San Leandro Boulevard,6956
North Gateway Drive,5545
Condon Drive,1803
South 20th Street,7358
Sivels Ranch Road,7286
Sunset Avenue,7912
Alford Street,251
San Gabriel River Bike Path,6943
West Pryor Avenue,8882
5th Avenue,114
Tilden Avenue,8097
Mountain Top Drive,5261
San Benito Street,6916
Longridge Road,4620
Grand Avenue,3451
Hill Avenue,3760
Harrison Avenue,3621
Echo Park Avenue,2769
Willow Street,9052
North Neptune Avenue,5638
1st Street,41
Tottenham Court,8137
Evelyn Avenue,2980
1st Street,41
Markham Avenue,4831
Central Avenue,1527
Pine Avenue,6231
24th Avenue,54
Grapevine Way,3467
Pomona Freeway,6335
Wolfskill Truck Trail,9109
Bancroft Steps,666
Lode Street,4580
Doreen Place,2238
Montecito Drive,5169
Calle Miramar,1285
Buena Vista Avenue East,1135
Desmond Road,2169
Camino Pablo,1340
1st Street,41
Stewart Springs Road,7816
Hillcrest Road,3767
Panorama Drive,6053
15th Avenue,26
Bresee Avenue,1041
Lanewood Court,4362
Venadito Canyon Road,8336
Mipaty Lane,5095
Garland Drive,3296
Canyon View Drive,1392
Central Expressway,1531
Shrader Street,7229
Alley 90371,282
Long Beach Boulevard,4614
Arlen Drive,454
West Atchison Avenue,8661
De Haven Street,2085
Via Del Rey,8386
Madera Avenue,4728
Suzanne Lane,7938
Wright Road,9157
Summerdale Road,7866
East 115th Street,2322
Northwood Drive,5759
Middlefield Road,5041
La Jolla Scenic Drive North,4264
Rowland Street,6811
Caminito del Pastel,1326
Barranca Parkway,703
Long Beach Freeway,4615
Shore Haven Avenue,7218
San Gabriel River Trail,6945
Horace Street,3838
Monastery Trail,5153
Fountainhead Drive,3198
East 12th Street,2326
Oxnard Street,5992
Cloverleaf Way,1726
Larchwood Drive,4375
Glendale Avenue,3375
Ronda Drive,6764
Calle Paloma,1289
West Commonwealth Avenue,8719
35th Avenue,77
Via Alta,8368
Cleveland Avenue,1711
Auburn Valley Road,532
Sierra Freeway,7238
North Fancher Avenue,5523
Shady Dell Road,7161
South Orange Drive,7574
Sorrento Valley Road,7349
Lakeview Terrace,4347
Bird Way,872
Borchard Road,976
Graybrook Lane,3474
Zephyr Circle,9206
Key Boulevard,4178
Haynes Street,3657
South Trojan Way,7653
Huntington Drive,3876
Auto Mall Drive,540
Lenore Drive,4470
Boyce Avenue,1000
San Pablo Avenue,6971
East Cameron Avenue,2441
Yolanda Avenue,9184
Live Oak Avenue,4556
24th Avenue,54
South Rita Way,7605
West Elder Avenue,8739
South la Habra Hills Drive,7688
Lapham Way,4370
North Delno Avenue,5504
1st Street,41
West 124th Street,8593
North Lima Street,5594
Nuns Canyon Road,5771
West 106th Street,8589
Avenue 112,563
Arthur H. Breed Junior Freeway,487
Horton Avenue,3842
West Chase Avenue,8713
North Milpas Street,5624
Noel Drive,5402
South Centre City Parkway,7422
Harbor Freeway,3597
North Vulcan Avenue,5733
5th Street,116
Jeff Street,4026
Towne Center Plaza,8141
Olive Avenue,5897
McKinney Way,4933
Rimrock Drive,6630
Parkman Street,6093
1st Street,41
Santa Fe Avenue,7019
American River Bike Trail,351
1st Street,41
Aviation Way,610
Orange Freeway,5932
Meridian Street,4999
Greenbrook Circle,3497
Cockatoo Avenue,1742
Federal Avenue,3071
La Playa Drive,4279
Polaris Drive,6319
L Street,4244
Fountaingrove Parkway,3197
County Line Road,1899
Filbert Street,3101
Hyde Avenue,3893
East 6th Street,2360
Falcon Way,3028
1st Avenue,40
Anderson Drive,373
West Sunset Boulevard,8929
Olga Lane,5895
Knott Avenue,4222
Mayfield Avenue,4889
Valley View Circle,8305
Menlo Avenue,4989
Sylvan Boulevard,7962
Grossmont Center Drive,3529
Oak Avenue,5784
Baldwin Park Boulevard,657
Columbus Parkway,1789
Cordelia Drive,1835
Joe Rodota Trail,4055
Wellington Avenue,8582
Irvine Center Drive,3970
North Guild Avenue,5557
Clarkdale Avenue,1685
West Via Corona,8944
Bubbling Wells Road,1115
West 77th Street,8645
B Street,621
Rockfellow Drive,6727
Holly Drive,3809
McKinney Way,4933
West Pacific Coast Highway,8866
Gary Drive,3301
Paramount Boulevard,6062
Carlton Way,1416
K Street,4113
McNeill Circle,4943
High Street,3739
Wildwood Drive,9033
Capistrano Avenue,1397
Vargas Court,8328
Toolen Place,8121
North Cuyamaca Street,5499
Glendale Boulevard,3376
Pineo Avenue,6249
Halsey Avenue,3573
Norris Road,5423
Lissetta Avenue,4546
West Street,8926
1st Street,41
South Halladay Street,7484
Seneca Street,7126
Multnomah Street,5287
1st Street,41
Kavanaugh Avenue,4128
Jackson Street,3992
Calle Pensamiento,1290
1st Street,41
Bexley Drive,840
Indian Rock Road,3931
1st Street,41
South Morton Boulevard,7558
Paseo de Vega,6120
1st Avenue,40
Apple Valley Road,412
1st Street,41
McKeon Ponderosa Way,4930
East Palmdale Boulevard,2653
Arena Avenue,445
East South Street,2711
Sherman Way,7208
Bryant Street,1110
Lytton Avenue,4715
Juanche Street,4092
Holder Street,3796
Oak Avenue,5784
1st Street,41
Pelican Crescent,6172
Enadia Way,2925
Hunters Point Expressway,3874
Gypsum Court,3548
Scout Avenue,7098
Fillmore Avenue,3104
Walnut Avenue,8516
Larchwood Drive,4375
Acorn Road,175
Meeker Avenue,4972
Edgewood Lane,2789
San Andreas Avenue,6910
Newport Boulevard,5372
Southwest Boulevard,7700
Robshell Court,6714
Glendale Boulevard,3376
Avenue 252,579
Mitchell Mine Road,5134
Liggett Way,4502
Naomi Drive,5309
Sandmine Road,6997
Shakespeare Drive,7167
Flanders Street,3130
Leland Street,4461
Pershing Avenue,6200
Washington Street,8547
West Slauson Avenue,8918
Branigan Way,1026
Sheridan Road,7201
North Avenue,5448
Saint Clair Avenue,6877
10th Avenue,5
Santa Susana Circle,7044
College Drive,1769
D Street,2025
Obrien Place,5828
Valley View Avenue,8304
South Walker Avenue,7666
Artesia Freeway,484
Orangehaven Lane,5936
West Posey Street,8880
Sydnor Avenue,7959
Grantland Court,3466
Los Feliz Boulevard,4653
R Street,6455
West 48th Street,8634
North Bonnie Beach Place,5470
Poppy Peak Drive,6349
McKinney Way,4933
Walnut Street,8520
Sycamore Court,7953
Wegis Avenue,8577
Lincoln Avenue,4519
1st Street,41
Langdale Avenue,4364
North Reese Place,5674
North J Street,5575
Lee Drive,4448
Forrester Road,3189
Marbel Avenue,4794
Central Avenue,1527
1st Street,41
Multnomah Street,5287
North Guthrie Street,5558
Lake Almanor Eastside Road,4321
Rockstream Road,6734
Olinda Oil Museum Obervation Path,5896
Columbus Avenue,1788
North Humboldt Street,5572
Parmelee Avenue,6102
Pine Flat Road,6236
Westshire Drive,8980
Calero Avenue,1242
Locke Road,4573
1st Street,41
North Fair Oaks Avenue,5522
Santa Ana Freeway,7005
Rowland Avenue,6809
Canyon Crest Road,1385
1st Street,41
69th Street,122
South Elm Avenue,7452
Echo Street,2770
East Lincoln Avenue,2580
Edmondson Alley,2797
1st Street,41
Olympia Avenue,5911
California Avenue,1249
Kirkham Street,4208
Buckingham Way,1127
Louisiana Street,4676
Pennsylvania Avenue,6182
East 115th Street,2322
Lassen Street,4403
El Camino Real,2816
North Mollison Avenue,5625
Matthew Court,4877
Elkwood Drive,2884
McLennan Avenue,4938
Lincoln Avenue,4519
Humboldt Avenue,3865
West Garvey Avenue South,8755
Mira Mar Avenue,5097
Kern Street,4173
Calle Jules,1277
66th Street,121
Charles Avenue,1571
Firestone Boulevard,3116
1st Street,41
South Vale Avenue,7658
Casino Point Entrance,1467
West Katella Avenue,8795
South Downey Road,7447
North Neptune Avenue,5638
Calle la Primavera,1303
Turk Street,8218
West 37th Place,8626
Bonita Street,968
North Main Divide Road,5606
Hazeltine Avenue,3664
East Grevillea Street,2524
Shadow Rock Drive,7155
East Nelson Avenue,2623
West Grand Boulevard,8763
Water Street,8551
Telfair Avenue,8021
Bayview Avenue,733
Montauban Avenue,5159
23rd Street,53
West 190th Street,8607
Daladier Drive,2036
North Mount Holyoke Avenue,5630
Encino Vista Drive,2928
Polly Geraci Trail,6325
1st Street,41
Burnham Drive,1153
McKinney Way,4933
North Street,5713
Bender Avenue,797
Cole Avenue,1757
Knox Place,4224
Smith Creek Drive,7323
West Lower Jones Road,8824
East 106th Street,2319
Pacific Coast Highway,5999
Williams Canyon Road,9038
North Linden Drive,5599
Glendale Freeway,3378
Jones Lane,4076
21st Street,48
Via Bolsa,8378
Woodman Way,9133
Navajo Road,5328
Avenue 264,580
Vermont Avenue,8354
Harte Way,3626
La Vida Road,4298
Payne Avenue,6147
Emilie Drive,2915
Higgins Court,3733
South Kerckhoff Avenue,7512
Melon Court,4978
Bender Avenue,797
South La Cadena Drive,7516
University Avenue,8257
Coronado Way,1851
Hereford Drive,3700
Telegraph Road,8018
MacArthur Boulevard,4721
Milagra Road,5053
Freer Street,3230
County Road 6,1910
Calle de la Magdalena,1302
South 3rd Avenue,7361
Warren Avenue,8536
West 28th Street,8621
Ventura Boulevard,8340
Berg Avenue,810
Kalmia Street,4118
Howard Road,3851
Main Street,4751
North Olive Avenue,5645
East Mariposa Street,2599
South Western Avenue,7673
6th Avenue,124
Via Pasar,8405
Drayton Drive,2265
Buena Vista Street,1139
Vineyard Avenue,8465
Redwood Lodge Road,6555
Springbrook North,7733
Prospect Avenue,6411
South Pennsylvania Avenue,7585
Micheltorena Street,5034
Mount Eden Road,5237
Limewood Place,4516
Pauline Avenue,6141
Bryant Street,1110
Camanche Parkway South,1310
El Camino Real,2816
Hawthorn Avenue,3651
Vista Avenue,8477
Quill Drive,6451
1st Street,41
Old Evans Road,5863
Industrial Way,3940
San Vincente Avenue,6985
West Keats Avenue,8796
Northfield Drive,5753
3rd Avenue,83
Redwood Road,6556
Campus Drive,1362
Airstrip Road,216
Del Puerto Canyon Road,2133
Sunnyglen Road,7899
Olive Avenue,5897
West American Avenue,8655
Anderson Drive,373
East Bennett Avenue,2416
1st Street,41
25th Street,58
Via Campo Street,8382
Hazel Avenue,3661
1st Street,41
33rd Street,73
Van Ness Avenue,8317
Midway Drive,5047
Buena Vista Road,1138
Chalet Line,1547
Cabrillo Avenue,1214
22nd Avenue,50
Nevada Avenue,5352
Juniper Street,4107
George Street,3330
North Harvard Avenue,5565
Soto Street,7350
Gannet Street,3278
Mission Street,5126
Doreen Place,2238
Chamberlain Avenue,1549
Churn Creek Road,1641
Atmore Drive,524
Columbus Avenue,1788
1st Street,41
Alley 80803,274
West 18th Street,8606
1st Street,41
Rockridge Drive,6732
Lagunitas Road,4319
Vaughn Court,8333
Agate Drive,201
25th Street,58
East Victoria Street,2737
Weaver Avenue,8569
Promenade Street,6410
Susana Avenue,7929
East Arlington Street,2385
Banyan Drive,675
Crockett Street,1986
South Buttonwillow Avenue,7412
Thomas Avenue,8066
West Lane,8804
West Tasman Drive,8934
Martin Luther King Junior Way,4854
Kirkham Street,4208
1st Street,41
West Fletcher Avenue,8748
Franklin Avenue,3214
East Gutierrez Street,2527
Doreen Place,2238
Hermosa Street,3705
Nylic Court,5775
Scenic Place,7076
San Carlos Street,6924
West Lugonia Avenue,8825
Campbell Avenue,1357
Oak Ridge Trail,5797
West 77th Street,8645
Beach Terrace Drive,738
1st Street,41
Minya Lane,5094
East Foothill Boulevard,2507
Kestrel Place,4175
Summer Avenue,7860
Westmont Drive,8978
33rd Street,73
Andover Way,376
Meadowbrook Lane,4953
East Dinuba Avenue,2485
East Arlington Street,2385
South Paula Drive,7581
La Canada Way,4249
Saint Albans Avenue,6873
Sunnyside Road,7901
Guadalupe Freeway,3536
B Street,621
Hereford Drive,3700
North Imperial Avenue,5573
Kellogg Street,4148
Alwood Street,332
John Street,4065
Iron Horse Trail,3963
25th Avenue,57
East Olive Street,2639
Clarkdale Avenue,1685
Lincoln Boulevard,4520
Rose Street,6783
Granite Hill Drive,3459
East 17th Street,2332
South Williams Avenue,7679
Escallonia Drive,2943
Sherman Drive,7204
Newton Road,5373
Faust Avenue,3060
Crenshaw Boulevard,1959
Bush Street,1164
Newport Avenue,5371
27th Avenue,60
Jack Pine Road,3990
West 2nd Street,8623
Hancock Drive,3584
Santana Heights,7050
South Hill Street,7496
East Sierra Avenue,2707
Normandie Avenue,5416
El Selinda Avenue,2852
Blue Heron Circle,917
North Vinewood Street,5731
Pio Pico Drive,6260
4th Street,102
Rose Avenue,6778
California Avenue,1249
North Park Avenue,5653
Beulah Street,835
Quarry Road,6443
Branyon Avenue,1028
Inglewood Boulevard,3942
1st Street,41
Highway 94,3755
Oceanside Drive,5845
North Portsmouth Circle,5667
Huntington Drive,3876
Castro Drive,1485
